Date/Time,Lat,Lon,Base
04/24/2014 16:48:41,40.6877,-74.0178,B02512
04/15/2014 10:26:04,40.5241,-74.0291,B02515
04-01-2014 17:28,40.5611,-73.85,B02512
04-08-2014 02:08,40.8473,-73.963,B02513
04/14/2014 06:23:53,40.5253,-73.9258,B02514
04/15/2014 13:27:52,40.6855,-73.9205,B02514
04/26/2014 20:48:59,40.7212,-73.8979,B02512
04/25/2014 12:08:14,40.6829,-74.0588,B02515
04/29/2014 09:35:25,40.5232,-73.9532,B02512
04-02-2014 06:10,40.956,-73.7856,B02515
04-02-2014 15:23,40.7856,-73.8671,B02512
04/27/2014 08:33:07,40.5073,-73.9442,B02514
04/21/2014 19:07:30,40.8455,-74.1081,B02513
04/14/2014 16:45:27,40.516,-73.9314,B02514
04/28/2014 08:37:20,40.5665,-74.057,B02514
04/26/2014 08:56:28,40.6487,-73.9026,B02514
04/27/2014 17:06:18,40.568,-74.0578,B02515
04/21/2014 15:35:57,40.9699,-74.1921,B02512
04/15/2014 01:10:40,40.6686,-73.9509,B02514
04/18/2014 17:00:40,40.5659,-73.8371,B02515
04/28/2014 01:19:22,40.7585,-73.8961,B02515
04-02-2014 02:47,40.667,-74.1758,B02512
04/15/2014 13:24:39,40.8934,-73.8296,B02514
04/27/2014 03:42:27,40.8453,-73.8823,B02515
04-04-2014 22:59,40.6884,-74.1241,B02514
04/18/2014 19:49:19,40.9606,-73.7279,B02513
04/19/2014 11:25:53,40.5926,-73.8772,B02512
04-01-2014 08:40,40.9524,-74.06,B02515
04/22/2014 04:40:52,40.812,-73.7741,B02514
04/22/2014 18:12:53,40.5718,-74.0377,B02513
04/27/2014 18:48:59,40.8489,-74.1387,B02514
04/15/2014 11:56:52,40.6863,-74.0866,B02513
04-05-2014 14:21,40.5163,-73.9706,B02513
04-08-2014 10:04,40.8666,-73.72,B02515
04/24/2014 19:53:49,40.6737,-74.0702,B02514
04/26/2014 11:38:48,40.891,-73.781,B02514
04/13/2014 08:28:23,40.8247,-73.8111,B02514
04/20/2014 10:27:17,40.6754,-73.853,B02513
04/22/2014 07:31:26,40.5315,-73.9235,B02515
04/24/2014 09:30:34,40.8565,-74.0751,B02512
04/23/2014 08:04:00,40.8826,-73.7034,B02515
04-12-2014 01:41,40.7854,-73.9798,B02512
04/26/2014 05:53:24,40.919,-73.9436,B02513
04-08-2014 07:45,40.8882,-73.9272,B02515
04/17/2014 17:43:49,40.6766,-74.1806,B02513
04-04-2014 14:35,40.8045,-73.747,B02514
04-02-2014 04:32,40.8907,-73.8936,B02513
04/19/2014 02:11:14,40.8597,-73.8095,B02514
04-10-2014 21:14,40.9146,-74.1342,B02514
04/21/2014 00:53:00,40.6688,-74.1401,B02512
04/20/2014 14:24:08,40.8275,-73.949,B02515
04-05-2014 00:43,40.797,-74.0817,B02513
