Date/Time,Lat,Lon,Base
04-01-2014 00:11,40.769,-73.9549,B02512
04-01-2014 00:17,40.7267,-74.0345,B02512
04-01-2014 00:21,40.7316,-73.9873,B02512
04-01-2014 00:28,40.7588,-73.9776,B02512
04-01-2014 00:33,40.7594,-73.9722,B02512
04-01-2014 00:33,40.7383,-74.0403,B02512
04-01-2014 00:39,40.7223,-74.0423,B02512
04-01-2014 00:45,40.7505,-73.9946,B02512
04-01-2014 00:45,40.7383,-74.0403,B02512
04-01-2014 00:50,40.7588,-73.9776,B02512
04-02-2014 01:11,40.769,-73.9549,B02513
04-02-2014 01:17,40.7267,-74.0345,B02513
04-02-2014 01:21,40.7316,-73.9873,B02513
04-02-2014 01:28,40.7588,-73.9776,B02513
04-02-2014 01:33,40.7594,-73.9722,B02513
04-02-2014 01:33,40.7383,-74.0403,B02513
04-02-2014 01:39,40.7223,-74.0423,B02513
04-02-2014 01:45,40.7505,-73.9946,B02513
04-02-2014 01:45,40.7383,-74.0403,B02513
04-02-2014 01:50,40.7588,-73.9776,B02513
